name,code,columns,codelist
都市圏,S05b_001,54,NA
調査年度,S05b_002,54,NA
発ゾーンコード,S05b_003,54,NA
着ゾーンコード,S05b_004,54,NA
鉄道-出勤トリップ数,S05b_005,54,NA
鉄道-登校トリップ数,S05b_006,54,NA
鉄道-自由トリップ数,S05b_007,54,NA
鉄道-業務トリップ数,S05b_008,54,NA
鉄道-帰宅トリップ数,S05b_009,54,NA
鉄道-合計トリップ数,S05b_010,54,NA
バス-出勤トリップ数,S05b_011,54,NA
バス-登校トリップ数,S05b_012,54,NA
バス-自由トリップ数,S05b_013,54,NA
バス-業務トリップ数,S05b_014,54,NA
バス-帰宅トリップ数,S05b_015,54,NA
バス-合計トリップ数,S05b_016,54,NA
自動車-出勤トリップ数,S05b_017,54,NA
自動車-登校トリップ数,S05b_018,54,NA
自動車-自由トリップ数,S05b_019,54,NA
自動車-業務トリップ数,S05b_020,54,NA
自動車-帰宅トリップ数,S05b_021,54,NA
自動車-合計トリップ数,S05b_022,54,NA
二輪-出勤トリップ数,S05b_023,54,NA
二輪-登校トリップ数,S05b_024,54,NA
二輪-自由トリップ数,S05b_025,54,NA
二輪-業務トリップ数,S05b_026,54,NA
二輪-帰宅トリップ数,S05b_027,54,NA
二輪-合計トリップ数,S05b_028,54,NA
自転車-出勤トリップ数,S05b_029,54,NA
自転車-登校トリップ数,S05b_030,54,NA
自転車-自由トリップ数,S05b_031,54,NA
自転車-業務トリップ数,S05b_032,54,NA
自転車-帰宅トリップ数,S05b_033,54,NA
自転車-合計トリップ数,S05b_034,54,NA
徒歩-出勤トリップ数,S05b_035,54,NA
徒歩-登校トリップ数,S05b_036,54,NA
徒歩-自由トリップ数,S05b_037,54,NA
徒歩-業務トリップ数,S05b_038,54,NA
徒歩-帰宅トリップ数,S05b_039,54,NA
徒歩-合計トリップ数,S05b_040,54,NA
その他-出勤トリップ数,S05b_041,54,NA
その他-登校トリップ数,S05b_042,54,NA
その他-自由トリップ数,S05b_043,54,NA
その他-業務トリップ数,S05b_044,54,NA
その他-帰宅トリップ数,S05b_045,54,NA
その他-合計トリップ数,S05b_046,54,NA
不明-出勤トリップ数,S05b_047,54,NA
不明-登校トリップ数,S05b_048,54,NA
不明-自由トリップ数,S05b_049,54,NA
不明-業務トリップ数,S05b_050,54,NA
不明-帰宅トリップ数,S05b_051,54,NA
不明-不明トリップ数,S05b_052,54,NA
不明-合計トリップ数,S05b_053,54,NA
全トリップ数,S05b_054,54,NA
都市圏,S05b_001,35,NA
調査年度,S05b_002,35,NA
発ゾーンコード,S05b_003,35,NA
着ゾーンコード,S05b_004,35,NA
鉄道-出勤トリップ数,S05b_005,35,NA
鉄道-登校トリップ数,S05b_006,35,NA
鉄道-自由トリップ数,S05b_007,35,NA
鉄道-業務トリップ数,S05b_008,35,NA
鉄道-帰宅トリップ数,S05b_009,35,NA
鉄道-合計トリップ数,S05b_010,35,NA
バス-出勤トリップ数,S05b_011,35,NA
バス-登校トリップ数,S05b_012,35,NA
バス-自由トリップ数,S05b_013,35,NA
バス-業務トリップ数,S05b_014,35,NA
バス-帰宅トリップ数,S05b_015,35,NA
バス-合計トリップ数,S05b_016,35,NA
自動車-出勤トリップ数,S05b_017,35,NA
自動車-登校トリップ数,S05b_018,35,NA
自動車-自由トリップ数,S05b_019,35,NA
自動車-業務トリップ数,S05b_020,35,NA
自動車-帰宅トリップ数,S05b_021,35,NA
自動車-合計トリップ数,S05b_022,35,NA
二輪-出勤トリップ数,S05b_023,35,NA
二輪-登校トリップ数,S05b_024,35,NA
二輪-自由トリップ数,S05b_025,35,NA
二輪-業務トリップ数,S05b_026,35,NA
二輪-帰宅トリップ数,S05b_027,35,NA
二輪-合計トリップ数,S05b_028,35,NA
徒歩-出勤トリップ数,S05b_029,35,NA
徒歩-登校トリップ数,S05b_030,35,NA
徒歩-自由トリップ数,S05b_031,35,NA
徒歩-業務トリップ数,S05b_032,35,NA
徒歩-帰宅トリップ数,S05b_033,35,NA
徒歩-合計トリップ数,S05b_034,35,NA
全トリップ数,S05b_035,35,NA
