id,matching_type
A10,exact
A11,exact
A12,exact
A13,exact
A15,exact
A21,exact
A22,exact
A27,exact
A29,exact
A30a5,exact
A30b,exact
A31,exact
A32,exact
A33,exact
A34,exact
A35a,exact
A35b,exact
A35c,exact
A38,exact
A39,exact
A40,exact
A42,exact
A43,exact
A44,exact
A45,exact
C28,exact
G04-a,exact
G04-c,exact
G04-d,exact
G08,exact
L03-b-c,exact
L05,exact
N02,exact
N03,exact
N05,exact
N06,exact
N07,exact
N08,exact
N09,exact
N10,exact
N11,exact
P04,exact
P09,exact
P13,exact
P14,exact
P15,exact
P16,exact
P19,exact
P20,exact
P21,exact
P24,exact
P26,exact
P27,exact
P28,exact
P29,exact
P30,exact
P31,exact
P32,exact
P34,exact
P35,exact
S05-d,exact
S10a,exact
S10b,exact
S12,exact
W01,exact
W09,exact
A03,positional
A16,positional
A17,positional
A18,positional
A18s-a,positional
A19,positional
A19s,positional
A20s,positional
A21s,positional
A22s,positional
A23,positional
A24,positional
A25,positional
A26,positional
A28,positional
C02,positional
C09,positional
C23,positional
G02,positional
L01,positional
L02,positional
L03-b-u,positional
L03-b,positional
P02,positional
P05,positional
P07,positional
P11,positional
S05-a,positional
S05-b,positional
S05-c,positional
W05,positional
W07,positional
